Name,Description,Website,Business Unit,Focus Area,Draft Opportunity Space,Original Taxonomy,Business Model Option,Friction Point,Business Models,Technologies ,Founded,Headcount,Country,Region,Funded,Funding Stage,Total Funding (USD),TRL,Maturity,Owner,Inc. Compass,Hero,Founded Score,Founded Weighting,Headcount Score,Headcount Weighting,Funding Score,Funding Weighting,TRL Score,TRL Weighting,Total Score,Result,Source
Hedwell,"Provider of policy management solutions to insurance service providers. It allows insurance providers to automate their operations, distribute insurance products, provide reinsurance services, and help in automating the claims process.",https://hedwell.com,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Policy Software,,,Insurance IT > Insurance Policy Solutions > Insurance Software Suite > Diversified,,2020,,Germany,Europe,No,Acquired,,,Mature,,TRUE,FALSE,0.5,0.3,,0,1,0.7,,0,0.85,Mature,TRACXN
Hejmo,"Online platform for residential mortgage loans. It is a direct lender offering residential mortgage loans to consumers. Users must add the required details along with the documents and apply for the loan. Once approved, the funds are transferred to the registered bank account.",,,,,,,,,,2018,,Sweden,Europe,Yes,Seed,"$2,872,825",,Nascent,,FALSE,FALSE,0.7,0.3,,0,0.2,0.7,,0,0.35,Nascent,OLD PROJECT – IKEA
Hela Capital,Online P2P lending marketplace for salary advance loans. It allows investors to invest funds on the platform in order to provide access to salary advance loans for borrowers. Borrowers can select from the range of funding options provided by lenders based on interest rates and loan terms. Investors also get an ROI for the amount lent to borrowers. It features an app-based lending platform for consumers to provide access to financing offers remotely and it is available for Android devices.,https://helacapitals.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace > P2P,,2017,,Kenya,Africa,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Helcatech,Data & monitoring solutions for health insurance industry,http://helcatech.com,3. Insurance,3.3. Affordable Insurance Products,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,Insurance IT > Data and Monitoring Solutions > Usage-based > Life & Health,,2017,,United Kingdom,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Helio,"Platform powering merchant payments for the web economy. The solutions offered include pay links to create checkout experiences with no coding required, price in any currency, including fiat and crypto, and letting customers pay with any token, pay streams to configure recurring payments for SaaS subscriptions, digital content paywalls and more with just a few clicks, invoicing for generating invoices, and more.",https://helio.co,1. Payments,1.2. Easing of Remittances,"1.2. Blockchain for Faster, More Secure Payments",,,,Cryptocurrencies > Financial Services > Payments > Business Payments > Diversified,,2022,,United Kingdom,Europe,Yes,Seed,"$3,300,000",,Nascent,,TRUE,FALSE,0.2,0.3,,0,0.2,0.7,,0,0.2,Nascent,TRACXN
Hello Paisa,Online cross-border remittance platform for individuals. It enables users to send and receive money globally. It provides forex cards enabling users to pay online and offline for international purchases. The application is available on Android and iOS platforms.,https://hellopaisa.co.za,1. Payments,1.2. Easing of Remittances,1.2. Low-Cost Remittances Services,,,,"Digital Remittance > Internet First Platforms > P2P Remittance > Wallet Transfer,
 Forex Tech > Foreign Currency Services > Prepaid Cards > B2C",,2013,,South Africa,Africa,Yes,Funding Raised,,,Mature,,FALSE,FALSE,1,0.3,,0,0.7,0.7,,0,0.79,Mature,TRACXN
Hello Soda,"Provider of AI-based credit scoring based on digital footprints. It offers solutions for the finance, insurance, recruitment, and gaming industries. It offers cloud-based proprietary software that interfaces with different data sources and third-party data providers to collect the digital footprint of a consumer. It uses various advanced analytics techniques to derive meaning from unstructured data, including natural language processing, machine learning, and psycholinguistics. It is currently being used for ID verification, credit risk, and fraud prevention purposes. Profile ID helps to reduce fraud losses and increase customer onboarding with its multi-channel identity verification solutions.",http://hellosoda.com,2. CC&C,2.2. Digital Loan Servicing,2.2. Customer Risk Profiling,Credit Assessment Score,,,"Big Data Analytics > Data Analytics > Text Analytics,
Alternative Lending > Enablers > Alternative Credit Score > Individuals > Digital Footprint,
Banking Tech > Loan Life Cycle Management > Credit Assessment > Alternative Credit Score,
Natural Language Processing > Industry Specific Applications > BFSI",,2013,163,United Kingdom,Europe,Yes,Acquired,"$5,294,610",,Mature,,TRUE,FALSE,1,0.3,1,0,1,0.7,,0,1,Mature,TRACXN
Hellocristo.hu,"Cristo is an online usage-based auto insurance platform for individuals. It provides insurance coverage for breakage, theft, battery damage, and broken glass. It offers claims processing services through the app. Their app is available for Android & iOS devices.",https://hellocristo.hu,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance,
Auto E-Commerce & Content > Insurance > Internet First Insurer > Usage Based,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2016,,Hungary,Europe,Yes,Seed,"$1,285,530",,Emerging,,FALSE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
Hellocristo.hu,"Cristo is an online usage-based auto insurance platform for individuals. It provides insurance coverage for breakage, theft, battery damage, and broken glass. It offers claims processing services through the app. Their app is available for Android & iOS devices.",https://hellocristo.hu,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance,
Auto E-Commerce & Content > Insurance > Internet First Insurer > Usage Based,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2016,,Hungary,Europe,Yes,Seed,"$1,285,530",,Emerging,,FALSE,FALSE,1,0.3,,0,0.2,0.7,,0,0.44,Emerging,TRACXN
Help Advance Payday Loans,Online marketplace for payday loans,https://helpadvancepaydayloans.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2016,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Helppo,Provider of an online marketplace for point-of-sale financing,http://helppo.africa,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Alternative Lending > Online Lenders > Consumer Loans > Point of Sale Financing > Marketplace,,2021,,Nigeria,Africa,No,Unfunded,,,Nascent,,TRUE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
Henan Zhixing Huitong,"Provider of OBD-based devices for vehicle diagnostics and usage-based insurance products. It is connected to the OBD port and lets users track car status and reports on their app which is available for both Android and iOS devices. Its features include vehicle condition tracking, collision tracking, fuel and mileage reports, and annual maintenance and service alerts.",http://e-smart56.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Connected Motorcycles > Telematics > Usage Based Insurance,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2014,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Henan Zhixing Huitong,"Provider of OBD-based devices for vehicle diagnostics and usage-based insurance products. It is connected to the OBD port and lets users track car status and reports on their app which is available for both Android and iOS devices. Its features include vehicle condition tracking, collision tracking, fuel and mileage reports, and annual maintenance and service alerts.",http://e-smart56.com,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Connected Vehicles > Connected Motorcycles > Telematics > Usage Based Insurance,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2014,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Hero,Hero is the first B2B checkout that allows your customers to order now and pay later,http://hero.fr/,,,,(5) Easing cash flow financing for businesses,,,,,2021,,France,Europe,No,Unfunded,$0.00,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,OLD PROJECT – IKEA
Hero Plus,POS financing solutions for consumers. Provides buy now and pay later solutions for consumers which can be used at the time of checkout by scanning the QR-code for payment which helps in splitting the bill. Application is made available on Android and iOS platforms.,https://heroplusgroup.com,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Alternative Lending > Online Lenders > Consumer Loans > Point of Sale Financing > Direct Lender,,2021,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
Hero Plus,Provider of a marketplace for point of sale financing,https://www.heroplus.xyz/,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Alternative Lending > Online Lenders > Consumer Loans > Point of Sale Financing > Marketplace,,2021,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
Heron Data,Heron Data provides open banking APIs for banks and financial institutions. It transforms bank transactions into categorized data. It enables lenders and credit unions to facilitate credit risk models. It also provides document management solutions.,https://www.herondata.io/,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,"Banking Tech > Open Banking > Aggregation APIs,
 Y Combinator Batches > 2020 > Summer",,2020,,United Kingdom,Europe,Yes,Seed,"$1,350,000",,Nascent,,TRUE,FALSE,0.5,0.3,,0,0.2,0.7,,0,0.29,Nascent,TRACXN
Hexatone,,https://hexatone.com,2. CC&C,2.2. Empowering CSR Teams,2.2. Automating Credit Review & Issuance,Loan Document Processing Software,,,Banking Tech > Loan Life Cycle Management > Document Processing > Data Extraction,,2016,,Cyprus,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Hey Driver,,http://heydriver.ai,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance > Internet First Insurers,
Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2021,,Anguilla,0,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
Hey Driver,AI-based auto insurance platform for individuals,http://heydriver.ai,3. Insurance,3.3. Affordable Insurance,3.3. Usage-Based Insurance,Usage-based Insurance (Telematics Data Monitoring Software),,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance > Internet First Insurers,
Auto E-Commerce & Content > Insurance > Internet First Insurer,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto,
Insurance IT > Data and Monitoring Solutions > Usage-based > Property & Casualty > Auto",,2021,,Anguilla,0,No,Unfunded,,,Nascent,,FALSE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
Hi Marley,Provider of AI and cloud-based conversational platform for the insurance industry. It uses technology to provide functionality that helps members to update customers and respond to their routine questions. It also provides APIs for integrating the platform with third-party applications.,https://www.himarley.com/,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Sales Force Automation > CRM > Enterprise Suite > BFSI,
MarketingTech > Industry Specific Marketing > Financial Services,
Customer Service Software > Industry Specifc > Financial Services > Insurance > Chatbots,
Chatbots > Industry Specific > Banking And Financial Services > Insurance And Claims,
Banking Tech > CRM > Communication Channels,
Insurance IT > Corporate Functions > CRM > Customer Support Chatbots",,2015,,United States of America,North America,Yes,Series B,"$41,748,688",,Emerging,,TRUE,FALSE,1,0.3,,0,0.4,0.7,,0,0.58,Emerging,TRACXN
HI55,"Hi55 Ventures is an online platform for working capital loans. It offers loans on the basis of revenues, credit assessments, loan terms, and more. Loan amount is transferred to the registered bank account.",http://hi55.uk,2. CC&C,2.3. Embedded Lending,2.3. Working Capital Loans,Working Capital Loans,,,Alternative Lending > Online Lenders > Business Loans > Working Capital Loans > Direct Lender,,2020,16,United Kingdom,Europe,Yes,Series A,,,Emerging,,TRUE,FALSE,0.5,0.3,1,0,0.4,0.7,,0,0.43,Emerging,TRACXN
HiCar,"Developer of OBD-based devices to track driving behavior. The device synchronizes with smartphones and allows the drivers to monitor dynamic traffic conditions, and trouble code details. It records fuel consumption, and driving pattern and provides a driving score based on driving habits allowing the drivers to save on their insurance premiums.",http://gethicar.com,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance,
Road Transport Tech > Driver Assistance > Vehicle Telematics,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based > On Demand,
Insurance IT > Insurance Policy Solutions > Claims Processing > Suite > Property & Casualty > Auto",,2014,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
HiCar,"Developer of OBD-based devices to track driving behavior. The device synchronizes with smartphones and allows the drivers to monitor dynamic traffic conditions, and trouble code details. It records fuel consumption, and driving pattern and provides a driving score based on driving habits allowing the drivers to save on their insurance premiums.",http://gethicar.com,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Claims Processing,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance,
Road Transport Tech > Driver Assistance > Vehicle Telematics,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based > On Demand,
Insurance IT > Insurance Policy Solutions > Claims Processing > Suite > Property & Casualty > Auto",,2014,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
HighFiveLoans,,https://www.highfiveloans.com,2. CC&C,2.3. Embedded Lending,2.3. Payday Loans,Internet First Payday Loans,,,Alternative Lending > Online Lenders > Consumer Loans > Payday Loans > Marketplace,,2018,,,,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Highploom,,https://www.highploom.com/,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Sales Force Automation > CRM > Enterprise Suite > BFSI,
MarketingTech > Industry Specific Marketing > Financial Services,
Customer Service Software > Customer Self Service > Chatbots,
Chatbots > Industry Agnostic > Customer Support,
Banking Tech > CRM > Communication Channels,
Insurance IT > Corporate Functions > CRM > Customer Support Chatbots",,2018,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Higlobe,Cross-border payment solution for businesses and individuals. It offers solutions to send and receive money overseas for consumers and businesses without transaction fees. Provides multi-currency money transfer solutions.,https://higlobe.com,1. Payments,1.2. Easing of Remittances,1.2. Low-Cost Remittances Services,,,,Digital Remittance > Internet First Platforms > Diversified,,2020,,United States of America,North America,Yes,Series A,"$14,000,000",,Emerging,,TRUE,FALSE,0.5,0.3,,0,0.4,0.7,,0,0.43,Emerging,TRACXN
Hinata Foundation,"Decentralized autonomous organization focused on NFTs. It offers services for content creators by incubating a platform for collectibles, metaverse tokenization, and blockchain gaming. It features a collection of illustrative artworks enabling members to earn rewards and tokens.",https://hinata.foundation,,,,,,,,,2021,0,China,Asia,,Seed,,,Nascent,,FALSE,FALSE,0.2,0.3,1,0,0.2,0.7,,0,0.2,Nascent,OLD PROJECT – IKEA
Hiotlabs,"Hiotlabs provides AI-based P&C insurance software suite for insurers. It's software solutions Fairtrail offers data management, claims management, product management, and more. It also offers solutions for risk management, data analytics, and more.",https://www.hiotlabs.com/,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Policy Software,,,Insurance IT > Insurance Policy Solutions > Insurance Software Suite > Property & Casualty,,2015,,Sweden,Europe,No,Acquired,,,Mature,,TRUE,FALSE,1,0.3,,0,1,0.7,,0,1,Mature,TRACXN
Hip Money,"Provider of banking APIs for open banking platform. It provides users with a white-label app for banking as a platform via open APIs and CDRs. Its features include CDR data collection, data enrichment APIs, and a money management platform.",http://hipmoney.com.au,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,Banking Tech > Open Banking > Banking APIs,,2017,,Australia,Oceania,No,Acquired,,,Mature,,TRUE,FALSE,0.7,0.3,,0,1,0.7,,0,0.91,Mature,TRACXN
Hip Pocket,"Platform to consolidate debt an compare with peers. It allows user to consolidate mortgage, retirement or auto loan and compare with peers. The company generates leads to banks and credit unions and charges commissions. It also advises users if loans have to be refinance to save more money.",http://hippocket.net,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Banking Tech > CRM,
Insurance IT > Corporate Functions > CRM",,2013,,United States of America,North America,Yes,Acquired,"$180,000",,Mature,,TRUE,FALSE,1,0.3,,0,1,0.7,,0,1,Mature,TRACXN
HIPA,"Hipa provides a codeless application development platform. It provides a solution to develop enterprise applications. The features include table view to quickly sort, filter, and view information, automatic chart, data association, and aggregate operation. The clients of the company include WisdomGarden, tower, etc.",http://hipacloud.com,1. Payments,1.4. Embedded Payments,1.4. No-code & Low-code solutions,,,,Application Development Tools > Code Development > Low Code Development Platforms,,2019,,China,Asia,Yes,Acquired,"$1,057,600",,Mature,,TRUE,FALSE,0.5,0.3,,0,1,0.7,,0,0.85,Mature,TRACXN
Hivera,"Provider of the unstructured data analytics software solution. It provides a platform that offers solutions such as real-time regulatory risk score, enterprise-wide unstructured data discovery, risk identification of personal data, remediation of low value data, etc. It also provides in depth control and reporting, data analysis and insights, data privacy and protection, etc.",https://hivera.ai,2. CC&C,2.2. Digital Loan Servicing,2.2. Customer Risk Profiling,Credit Assessment Score,,,"Big Data Analytics > Industry Solutions > BFSI > Credit Risk Assessment > Credit Scoring,
Banking Tech > Loan Life Cycle Management > Credit Assessment > Credit Score,
RegTech > Risk Management > Risk Type > Banking Industry Risks > Credit Risk > Data Providers",,2021,,United Kingdom,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,0.2,0.3,,0,0,0.7,,0,0.06,Nascent,TRACXN
HiWi,"Provider of payment solutions for international students. It provides users with a platform that offers digital services to international students through digital channels with little or no branch infrastructure. Its features include debit card providing, online payments and transactions, online loans for students, automated reconciliation, remittance, and transaction reports.",https://hiwipay.com,1. Payments,1.2. Easing of Remittances,1.2. Low-Cost Remittances Services,,,,"Digital Remittance > Internet First Platforms > Diversified,
 K-12 EdTech > School IT > Finance > Fee Payment,
 Higher Education Tech > College IT > Finance > Fee Payment",,2022,,India,Asia,Yes,Series A,"$908,780",,Nascent,,TRUE,FALSE,0.2,0.3,,0,0.4,0.7,,0,0.34,Nascent,TRACXN
HKT Flexi,App-based platform for purchase financing,https://www.hktflexi.com,2. CC&C,2.3. Embedded Lending,2.3. Buy Now Pay Later (BNPL),Point of Sale Financing,,,Alternative Lending > Online Lenders > Consumer Loans > Point of Sale Financing > Direct Lender,,2019,,China,Asia,No,Unfunded,,,Nascent,,TRUE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
HMS,"Loan servicing solutions for real estate sectors. It provides loan servicing for residential mortgages, commercial mortgages, standby servicing, debt purchase, and more. It also provides tools for portfolio auditing.",https://hamptonmortgages.com,2. CC&C,2.2. Digital Loan Servicing,,Loan Servicing,,,Banking Tech > Loan Life Cycle Management > Loan Servicing,,2014,,United Kingdom,Europe,No,Unfunded,,,Nascent,,TRUE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
HMT Loans,Online lending solutions for micro loans,http://hmtloans.co.za,2. CC&C,2.2. Digital Loan Servicing,,Internet First Microfinancing,,,Alternative Lending > Online Lenders > Consumer Loans > Micro Loans > Direct Lender,,2018,,South Africa,Africa,No,Unfunded,,,Nascent,,TRUE,FALSE,0.7,0.3,,0,0,0.7,,0,0.21,Nascent,TRACXN
Hnubi,"Provider of plug-and-play devices to track driving behavior. The device synchronizes with the smartphone app and allows users to monitor vehicle driving state, collision, mileage fuel consumption, and analyze driving behavior. The data is synced to the cloud platform and allows the drivers to reduce their insurance premiums by driving safely and based on real usage.",http://www.hnubi.com/,3. Insurance,3.1. Digital Insurance Platforms,,Internet First Insurance Platforms,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance,
Road Transport Tech > Driver Assistance > Vehicle Telematics,
Logistics Tech > Freight > Trucking > Technology Enablers > Fleet Management > End to End > Telematics Based,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based > On Demand,
Insurance IT > Insurance Policy Solutions > Claims Processing > Suite > Property & Casualty > Auto",,2013,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Hnubi,"Provider of plug-and-play devices to track driving behavior. The device synchronizes with the smartphone app and allows users to monitor vehicle driving state, collision, mileage fuel consumption, and analyze driving behavior. The data is synced to the cloud platform and allows the drivers to reduce their insurance premiums by driving safely and based on real usage.",http://www.hnubi.com/,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Claims Processing,,,"Connected Vehicles > Vehicle Telematics > Usage Based Insurance,
Road Transport Tech > Driver Assistance > Vehicle Telematics,
Logistics Tech > Freight > Trucking > Technology Enablers > Fleet Management > End to End > Telematics Based,
Internet First Insurance Platforms > Internet First Insurers > P&C > Auto > Usage-based > On Demand,
Insurance IT > Insurance Policy Solutions > Claims Processing > Suite > Property & Casualty > Auto",,2013,,China,Asia,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
Hodl Hodl,"P2P exchange platform for cryptocurrency. It allows the users to buy, sell and exchange cryptocurrency. It provides information, news, and real-time market data on Bitcoin. Charges a certain percentage of the amount of cryptocurrency sent to the escrow address. It also provides ratings and reviews of the users.",https://hodlhodl.com,,,,,,,,,2016,0,United Kingdom,Europe,,Series B,,,Emerging,,FALSE,FALSE,1,0.3,1,0,0.4,0.7,,0,0.58,Emerging,OLD PROJECT – IKEA
HOIxpress,,https://hoixpress.com,2. CC&C,2.2. Empowering CSR Teams,2.2. Automating Credit Review & Issuance,Loan Document Processing Software,,,Banking Tech > Loan Life Cycle Management > Document Processing > Document Collection,,2020,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,0.5,0.3,,0,0,0.7,,0,0.15,Nascent,TRACXN
hokan,"Hokan is a SaaS-enabled insurance CRM/SFA(Customer Relationship Management/Sales Force Automation) software for insurance agents. Offers automated contract information entry, sales dashboard, and visualization tools. Enables sorting & grouping function, document upload, policy print & pdf conversion. Communications are protected by SSL encryption.",https://hkn.jp,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Sales Force Automation > CRM > Enterprise Suite > BFSI,
Banking Tech > CRM,
Insurance IT > Corporate Functions > CRM,
Plug and Play Tech Center Batches > Japan > Batch1",,2017,,Japan,Asia,Yes,Seed,"$1,293,990",,Nascent,,TRUE,FALSE,0.7,0.3,,0,0.2,0.7,,0,0.35,Nascent,TRACXN
Hokodo,"Hokodo provides API for invoicing platforms & marketplaces. It provides customer-centric insurance and financing solutions to e-invoicing platforms, marketplaces, and cloud accounting platforms. It offers Invoice Protection for transactional risk management and Secure freight to protect customer's goods in transit.",https://www.hokodo.co/,,,,(5) Easing cash flow financing for businesses,,,,,2018,,United Kingdom,Europe,Yes,Series B,"$54,690,000",,Emerging,,FALSE,FALSE,0.7,0.3,,0,0.4,0.7,,0,0.49,Emerging,OLD PROJECT – IKEA
HolyWally,White-label digital wallet platform. The company offers B2B2C white-label digital wallet solutions. It allows customizing the mobile wallet platform that suits the business.,https://www.holywally.com/,1. Payments,1.4. Embedded Payments,1.4. Open Banking & API Integration,,,,Payments > Enablers > White Label Solutions > Wallets,,2020,,Singapore,Asia,Yes,Seed,"$1,400,000",,Nascent,,TRUE,FALSE,0.5,0.3,,0,0.2,0.7,,0,0.29,Nascent,TRACXN
Home Lending Pal,Home Lending Pal provides an online marketplace for residential mortgages. It features an AI-enabled advisor for providing loans from lenders based on the requirement and budget. Loans are provided on the basis of credit risk assessments.,,,,,,,,,,2018,,United States of America,North America,Yes,Seed,"$3,500,000",,Nascent,,FALSE,FALSE,0.7,0.3,,0,0.2,0.7,,0,0.35,Nascent,OLD PROJECT – IKEA
Homebot,"Homebot is a chatbot based lead generation platform for real estate agents. Features include customized branding, client tracking, lead generation, data management, automated notifications, and more. The company clientele includes Relmax, ColdwellBanker, and Century21 among others.",https://homebot.ai,4. Cross-BU,4.2. Unifying the Customer Front,,Banking Channel Solutions,,,"Sales Force Automation > Lead Generation > Chatbots,
MarketingTech > Industry Specific Marketing > Real Estate > Lead Generation,
Chatbots > Industry Specific > Real Estate > Customer Engagement,
Banking Tech > Banking Channels > Conversational,
Real Estate IT > CRM > Lead Generation",,2015,106,United States of America,North America,Yes,Acquired,"$4,000,000",,Mature,,TRUE,FALSE,1,0.3,1,0,1,0.7,,0,1,Mature,TRACXN
HomeCapital,"Online marketplace for down payment financing. It offers a platform focused on providing downpayment assistance to home buyers. Loan interest is decided on loan amount, property valuation, loan terms, and more. It also offers an app-based platform that is available on iOS and Android devices.",http://msmmicrofinance.com,,,,,,,,,2017,0,India,Asia,Yes,Series B,"$14,932,101",,Emerging,,FALSE,FALSE,0.7,0.3,1,0,0.4,0.7,,0,0.49,Emerging,OLD PROJECT – IKEA
Homee,Online marketplace to book on-demand home service professionals. The platform enables users to register and raise a job request. Users will receive quotes from the verified professions. Users can compare and book the professionals of their choice. Home service providers can register by providing the necessary information online. Its mobile app is available for Android and iOS devices.,https://www.homee.com,,,,(6) Insuring the many businesses,,,,,2016,0,United States of America,North America,Yes,Series B,"$45,800,000",,Emerging,,FALSE,FALSE,1,0.3,1,0,0.4,0.7,,0,0.58,Emerging,OLD PROJECT – IKEA
Homee,Online marketplace to book on-demand home service professionals. The platform enables users to register and raise a job request. Users will receive quotes from the verified professions. Users can compare and book the professionals of their choice. Home service providers can register by providing the necessary information online. Its mobile app is available for Android and iOS devices.,https://www.homee.com,3. Insurance,3.1. Digital Insurance Platforms,3.1. Streamlining Purchase & Claims (Insurtech),Insurance Claims Processing,,,"Local Services > Home Services > Multi-home services > Marketplace,
Home Improvements > B2C Commerce > Horizontal > Marketplace,
Insurance IT > Insurance Policy Solutions > Claims Processing > Restoration and Repair > Property & Casualty > Property,
Property Management Tech > Home Improvement Services > Horizontal > Marketplace",,2016,41,United States of America,North America,Yes,Series B,"$45,800,000",,Emerging,,FALSE,FALSE,1,0.3,1,0,0.4,0.7,,0,0.58,Emerging,TRACXN
HomeEggCX,,https://homeeggcx.com,4. Cross-BU,4.1. Customer Intelligence,4.1. Leverage Customer Data for Cross-selling,CRM Solution for Banks,,,"Sales Force Automation > CRM > Enterprise Suite > BFSI,
Banking Tech > CRM,
Insurance IT > Corporate Functions > CRM",,2016,,United States of America,North America,No,Unfunded,,,Nascent,,FALSE,FALSE,1,0.3,,0,0,0.7,,0,0.3,Nascent,TRACXN
